Blog	here	china	want	how	re	service	tech	than	best	country	much	things	has	support	devices	time	data	so	internet	million	one	open	future	take	uk	technology	world	an	at	tv	social	more	company	its	startup	last	be	by	into	up	us	next	customer	this	high	could	system	should	ve	off	web	government	does	work	after	office	them	they	network	another	do	we	security	way	was	computing	power	market	ibm	can	tablets	still	not	now	year	online	price	only	desktop	using	t	business	your	sales	storage	you	help	ceo	ces	android	launch	mobile	linux	some	e	facebook	cloud	software	nokia	keep	privacy	need	based	years	i	well	pc	he	samsung	companies	even	new	features	m	against	three	if	make	just	deal	down	digital	smartphone	may	first	long	get	many	public	two	most	services	businesses	source	big	google	back	ipad	have	ios	latest	like	about	but	phone	my	end	over	free	top	enterprise	report	news	been	no	when	iphone	platform	good	week	or	there	all	what	store	windows	his	tablet	customers	users	microsoft	apple	app	use	from	six	out	g	their	which	why	will	apps	percent	other
ZDNet | cisco RSS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Latest topics for ZDNet in Networking	3	0	2	3	1	1	0	0	1	2	0	9	1	0	5	1	2	1	11	0	1	6	1	0	0	2	2	5	8	0	0	2	1	0	0	0	2	3	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	1	1	4	1	2	1	1	0	0	0	1	0	0	1	0	1	0	0	2	2	1	0	0	0	4	0	2	0	0	3	0	2	8	0	0	2	0	0	0	2	2	1	0	0	1	1	1	1	1	0	0	0	0	1	1	5	0	0	0	1	2	2	3	1	4	0	0	2	0	0	2	2	0	0	2	0	0	5	1	2	0	0	2	0	0	1	5	4	0	1	0	2	1	4	0	0	0	1	0	0	0	1	2	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	3	0	0	2
ZDNet | Enterprise Web 2.0 RSS	4	0	0	6	2	0	4	2	0	0	1	1	6	2	4	1	2	1	3	0	2	0	2	0	0	6	2	1	0	0	9	1	0	1	0	0	5	1	2	4	0	0	0	3	1	0	0	2	0	0	0	0	4	3	0	1	1	5	0	0	1	2	0	5	1	1	0	1	0	2	0	0	2	4	2	2	0	0	0	0	3	8	0	1	0	1	2	0	0	0	0	2	0	0	0	0	2	2	0	3	0	1	0	1	0	1	0	0	0	2	1	8	1	0	0	0	0	0	2	0	1	6	0	1	0	1	2	2	0	1	2	0	1	0	0	0	0	0	7	0	1	0	0	5	0	0	0	0	0	2	15	0	0	0	1	1	0	0	0	0	2	4	1	3	0	0	1	0	0	0	0	0	1	0	2	0	1	0	3	0	0	3	2	0	0
ZDNet | Pinoy Post RSS	0	0	0	0	0	0	6	0	0	2	1	1	5	1	0	0	1	1	0	1	1	0	1	1	0	2	1	4	0	1	4	2	0	5	1	1	4	5	1	2	0	0	1	1	2	0	2	1	1	1	1	3	0	0	1	2	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	4	3	1	3	2	0	0	0	1	2	0	0	0	0	1	3	1	0	2	0	1	0	2	1	0	0	0	0	0	1	1	0	1	3	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	2	0	3	0	0	1	0	2	0	0	5	0	0	0	0	0	0	3	0	0	0	1	7	1	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	1	0	1	2	0	2	0	0	1
ZDNet | bootstrappr RSS	0	0	0	1	1	0	0	1	0	1	0	0	6	1	0	1	0	0	1	0	3	1	0	1	0	0	3	1	0	0	0	1	0	2	5	0	3	3	1	8	1	0	0	2	0	1	0	0	0	0	1	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	3	0	4	0	0	1	0	3	1	0	2	0	1	3	1	2	0	0	3	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	5	0	0	0	1	6	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	1	0	3	0	1	0	5	2	0	3	0	1	2
ZDNet | Twisted Wire RSS	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	5	0	0	0	0	5	1	0	0	4	0	1	0	1	3	3	1	2	1	1	0	4	0	1	0	0	0	0	3	5	1	2	0	0	0	4	3	2	0	2	1	1	1	0	0	1	0	1	0	1	3	1	0	1	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	2	2	2	0	3	0	1	2	1	4	2	0	1	4	0	3	0	0	0	0	1	6	0	0	1	3	3	3	2	4	0	0	1	0	1	0	0	0	0	0	2	1	1	1	2	0	0	3	0	0	2
ZDNet | Mapping Babel RSS	0	4	0	0	0	6	1	1	1	0	0	0	15	2	0	0	4	0	0	0	2	0	0	2	3	4	3	4	8	0	0	2	4	14	0	0	3	8	3	3	0	0	0	0	1	4	6	0	0	1	2	0	0	0	2	0	2	2	0	2	0	0	1	1	5	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	3	0	2	17	2	0	0	0	0	2	0	0	0	1	0	0	1	0	3	2	0	0	2	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	4	4	0	0	4	0	0	3	0	1	0	0	0	0	0	0	2	3	0	3	0	0	2	0	0	0	2	0	0	3	0	1	0	0	6	1	0	2	1	7	0	0	0	4	0	2	0	2	2	0	3	1	0	1
ZDNet | Mixed Signals RSS	1	0	0	1	1	2	0	4	0	1	1	0	8	0	0	2	4	1	0	2	1	0	0	0	13	0	2	3	8	0	3	3	4	5	0	2	3	3	1	2	0	1	0	1	0	0	1	0	0	1	0	3	0	0	0	1	0	1	1	2	0	4	0	0	5	3	1	0	1	1	0	1	2	1	3	4	0	0	0	0	2	1	0	0	1	2	0	0	0	2	1	5	0	0	0	3	1	1	3	0	1	1	1	1	2	0	0	0	0	1	2	6	0	5	1	0	0	0	0	2	0	0	0	2	4	0	3	1	0	0	2	1	0	0	2	5	0	3	4	1	1	0	0	2	2	1	1	2	1	0	0	1	1	2	0	4	0	0	0	0	3	1	0	1	1	1	0	0	2	1	1	2	1	0	10	0	5	1	0	1	1	6	0	0	1
ZDNet | Between the Lines RSS	3	0	0	3	0	0	4	0	1	0	0	3	1	0	0	0	5	0	4	1	1	0	0	0	0	4	2	5	4	0	0	2	4	2	0	1	1	3	1	3	0	1	0	0	0	1	0	0	0	2	0	0	0	0	2	1	0	2	0	0	1	1	0	1	0	0	3	1	2	2	0	0	1	1	3	0	1	0	0	0	1	3	0	2	2	1	0	4	9	0	0	1	0	0	0	2	7	4	1	0	0	1	1	0	2	1	0	0	4	0	0	8	2	0	0	0	2	0	0	2	0	0	0	1	1	1	0	0	1	0	2	1	0	0	2	2	0	0	2	2	0	0	2	3	0	0	0	0	0	1	5	0	0	0	1	0	0	0	1	0	2	3	0	1	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	1	0	5	2	1	0
Latest topics for ZDNet in Linux	4	0	1	1	1	0	1	1	4	0	0	1	5	0	1	3	0	3	2	0	1	8	0	1	0	0	1	3	3	1	0	1	0	2	0	0	3	0	0	1	0	1	0	4	1	1	1	0	1	0	0	0	2	2	0	0	3	1	0	2	0	1	0	1	4	1	2	0	3	1	0	1	2	2	3	0	1	1	1	1	0	2	3	0	0	3	0	0	7	0	0	0	13	2	0	0	1	4	0	0	0	1	1	2	4	0	0	0	0	0	0	12	0	1	0	0	1	0	3	0	0	0	0	2	1	1	1	0	0	1	1	0	0	7	1	0	1	0	4	0	0	0	0	2	0	4	1	0	2	0	1	0	3	1	0	0	0	1	1	0	2	3	5	1	0	1	0	0	2	0	0	0	0	0	3	1	2	0	1	0	0	1	0	0	3
ZDNet | Startup India RSS	0	0	0	2	0	3	2	1	0	0	1	2	5	2	0	3	1	0	0	0	3	0	0	0	0	0	3	6	1	0	5	1	0	0	15	0	2	3	1	2	0	1	10	3	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	1	3	0	0	0	0	2	1	5	0	0	1	3	0	0	0	2	4	0	2	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	1	1	0	0	1	0	2	0	0	4	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	6	0	1	1	2	0	0	0	1	1	0	0	4	0	1	0	3	0	3	3	1	1	2	0	1
ZDNet | Techie Isles RSS	0	0	0	2	0	1	6	3	2	1	0	0	5	0	0	1	0	4	2	0	2	0	0	1	0	2	0	1	2	1	0	1	0	2	0	0	2	1	1	1	0	0	0	3	0	2	1	3	0	1	0	3	0	0	0	0	0	0	1	0	1	2	0	1	1	0	1	0	2	3	0	0	3	0	1	3	1	0	0	0	1	2	2	0	0	0	2	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	2	1	0	0	1	0	0	0	19	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	2	1	1	2	1	0	0	2	0	0	1	0	0	0	0	2	0	1	3	1	0	1	3	0	0	2
ZDNet | Virtually Speaking RSS	1	0	0	1	1	4	0	2	2	0	0	2	4	2	1	2	9	0	2	0	1	0	0	0	0	4	1	3	2	0	1	0	2	9	0	2	5	0	1	0	0	0	2	2	2	2	2	3	2	0	0	0	1	3	0	0	7	1	0	0	1	5	2	2	2	4	2	4	3	3	0	1	0	2	2	0	0	1	1	3	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	3	4	0	0	0	0	3	0	1	0	0	0	2	1	1	2	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0	2	0	1	0	3	0	0	3	0	2	0	1	0	0	0	1	1	0	0	0	2	0	0	8	0	0	1	0	1	0	1	0	1	3	1	2	5	1	0	0	0	2	0	0	0	0	1	2	0	1	0	6	0	4	3	0	0	2
Latest articles for ZDNet	0	1	1	6	0	0	1	0	1	3	0	0	2	0	1	2	2	1	2	0	2	0	1	0	0	1	1	2	3	0	1	4	0	7	0	1	6	4	1	5	0	0	1	0	0	2	1	0	0	3	1	0	0	1	1	1	0	0	3	0	0	1	3	2	2	1	1	1	0	1	1	1	0	0	3	0	3	1	0	0	0	1	2	0	1	0	0	2	1	0	1	1	0	0	0	1	2	1	2	1	0	0	2	0	0	1	2	0	2	0	0	7	0	1	2	3	2	0	1	0	3	0	0	2	1	0	1	0	0	0	2	3	1	0	3	0	0	0	2	0	2	2	2	1	1	0	0	1	0	1	1	0	2	1	1	1	0	1	1	1	0	2	0	0	1	2	0	2	0	1	3	8	1	0	1	0	2	0	1	1	1	3	0	2	0
Latest topics for ZDNet in Operating-Systems	7	0	2	3	3	1	0	0	4	0	0	0	4	0	0	5	0	1	0	0	1	0	2	1	0	0	0	2	3	3	0	1	1	4	0	0	5	2	0	1	0	1	0	5	0	1	2	0	1	1	1	0	2	3	0	1	3	1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	6	0	1	0	6	0	0	6	2	0	3	0	0	0	13	2	0	0	0	3	0	1	0	0	0	0	7	1	1	0	2	1	0	17	0	1	0	0	3	0	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	5	0	0	2	0	2	0	5	0	0	0	0	0	0	1	1	0	4	0	1	1	1	1	0	2	1	0	3	0	0	0	0	3	4	0	1	5	0	2	0	1	0	0	0	1	0	1
Latest topics for ZDNet in Enterprise-Software	2	0	1	2	1	2	0	2	1	0	0	1	2	0	1	0	1	1	1	1	1	2	0	0	0	3	1	2	1	3	2	4	2	6	0	0	5	0	0	2	0	0	5	1	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	4	1	4	0	0	1	0	0	0	0	3	1	2	1	0	1	0	1	1	1	4	0	0	2	1	2	0	0	1	1	2	0	0	0	3	7	0	2	0	1	0	2	0	3	0	2	0	0	2	5	1	3	0	0	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	2	0	2	1	2	1	0	2	0	0	0	3	0	4	0	0	1	0	2	1	11	2	1	0	1	0	3	0	2	2	0	5	0	0	0
ZDNet | The Mobile Gadgeteer RSS	0	0	2	0	0	1	0	1	3	0	1	0	1	3	3	1	6	0	0	0	1	0	3	0	0	4	0	4	1	0	0	3	0	3	0	0	2	4	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	2	1	1	1	1	0	0	0	2	0	0	1	0	2	4	1	1	1	2	0	0	1	0	0	2	2	5	0	0	5	0	0	1	16	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	3	2	5	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	3	1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	1	0	0	4	0	3	0	2	2	1	1	4	1	0	1	1	0	2
ZDNet | View from China RSS	0	20	0	0	0	0	1	0	0	2	0	0	4	0	1	0	1	0	2	1	0	0	0	0	0	0	1	1	0	0	1	2	0	6	0	0	6	4	0	2	1	1	0	1	1	1	5	0	0	3	0	1	0	0	3	1	1	0	3	0	0	0	2	0	0	1	0	7	0	1	0	0	0	0	0	1	2	3	0	1	0	1	0	1	0	0	0	0	0	0	2	3	0	0	0	0	3	1	0	0	0	0	1	0	0	1	2	0	0	1	0	6	1	2	0	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	2	1	0	0	2	0	2	0	0	1	1	0	1	1	1	0	2	0	2	1	0	1	0	1	1	0	10	0	0	1	0	0	1	0	0	0	0	0	1	1	2	6	3	0	3	0	1	0	2	0	0	8	1	1	3
ZDNet | Tech Taiwan RSS	0	4	0	0	0	0	0	0	0	2	0	1	3	0	4	0	2	0	0	1	0	0	0	0	0	0	1	4	3	0	3	2	2	11	0	1	2	7	0	2	3	0	0	0	4	1	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	4	0	0	1	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	4	4	0	1	0	2	0	0	2	0	3	0	0	0
ZDNet | Italy&#039;s got tech RSS	0	0	0	5	0	0	2	0	0	3	2	0	6	0	0	1	4	0	4	0	2	6	0	0	0	1	0	5	5	0	0	1	1	3	2	1	3	1	1	3	0	0	0	1	0	2	1	0	0	1	3	2	1	0	0	0	1	1	1	1	1	0	0	3	0	0	0	3	0	6	0	0	2	0	1	2	0	0	0	0	1	1	0	0	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	2	1	6	0	1	0	0	0	1	0	0	0	0	1	1	1	1	5	0	1	0	0	2	0	3	0	3	0	0	2	0	0	0	2	3	0	0	0	2	2	0	0	0	0	3	0	0	0	0	3	0	1	0	0	0	0	4	0	0	0	3	3	0	0	0	1	0	2	2	1	0	1	5	2	1	0
ZDNet | Hong Kong Techie RSS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZDNet | Consumerization: BYOD RSS	0	0	2	3	3	0	1	3	1	0	1	1	1	0	0	0	2	1	0	0	0	2	0	1	0	4	2	4	0	0	0	2	1	3	0	0	3	1	0	1	0	0	0	2	0	0	1	1	1	0	0	0	2	0	1	1	0	2	1	0	1	0	1	4	0	0	1	0	0	3	0	0	2	2	0	0	0	0	1	0	4	2	8	1	0	13	0	1	0	0	0	2	4	2	2	0	1	0	0	0	0	3	1	0	7	0	0	1	3	0	1	5	2	5	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	0	5	2	0	4	0	0	0	2	4	1	0	0	0	1	0	0	2	0	2	1	6	1	0	2	0	0	0	1	0	0	4	0	3	0	4	0	0	0	1	0	0	0	0
ZDNet | Estonia Uncovered RSS	0	1	1	10	0	2	5	0	0	7	1	1	6	0	2	1	3	1	0	0	5	0	0	1	1	0	2	5	2	0	0	5	0	14	5	1	6	0	0	2	5	3	0	1	1	1	1	2	1	1	0	2	2	0	2	1	0	1	0	0	0	2	1	2	1	0	0	0	0	4	0	1	1	1	1	4	1	0	0	1	3	0	3	0	0	3	0	0	0	0	0	3	0	1	2	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	1	5	0	1	0	2	0	0	3	3	0	0	0	0	0	0	1	1	0	1	2	4	0	0	1	1	0	0	0	1	0	0	1	4	2	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	5	1	2	0	0	1	0	0	0	0	0	1	0	0	3	0	2	8	0	0	0	1	0	0	0
Latest topics for ZDNet in Oracle	0	0	1	2	2	0	1	2	0	1	1	0	4	0	0	0	3	1	0	1	0	4	0	1	2	0	1	1	3	0	0	2	1	1	0	1	1	2	0	4	0	1	1	3	1	1	0	0	0	1	1	1	0	0	2	0	0	2	0	0	1	1	0	1	1	0	0	1	0	2	0	0	2	0	3	0	0	1	0	1	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	2	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	2	0	2	0	5	0	0	2	0	0	0	2	6	0	0	3	1	0	0	1	0	2	2	0	0	0	0	1	1	1	0	1	1	0	0	1	0	3	0	1	0	0	0	4	0	2	0	2	2	1	3	1	2	0
ZDNet | Web design &amp; Free Software RSS	0	0	2	3	0	0	0	2	1	0	1	0	0	0	0	1	0	1	0	0	2	1	1	1	0	0	0	1	1	0	0	0	0	2	0	1	8	4	0	3	0	1	0	0	1	2	0	2	1	0	22	0	1	2	0	0	2	2	0	0	0	4	0	4	1	0	0	0	0	8	0	0	3	1	0	0	0	0	1	1	5	0	5	0	0	3	0	0	0	1	0	2	0	1	0	0	0	5	0	0	0	0	0	0	4	2	0	0	0	0	0	1	2	0	0	0	0	2	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	2	0	2	0	2	1	0	0	1	5	0	3	0	0	2	0	0	0	0	0	0	1	0	1	1	0	1	2	5	3	0	0	0	0	0	0	0	0	1	2	1	1	0	0	3	0	0	0	2	0	0
ZDNet | The Full Tilt RSS	1	0	0	1	0	1	0	2	1	0	0	1	1	0	1	3	10	1	3	0	0	0	0	0	0	2	2	2	0	0	3	3	0	4	0	0	3	5	0	3	2	0	2	0	0	0	1	0	1	1	1	1	0	0	1	0	1	3	1	0	1	2	2	1	1	0	0	0	0	5	0	3	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	2	2	1	0	0	0	0	0	0	3	4	0	0	1	0	1	0	1	0	0	1	1	3	0	0	2	2	0	0	0	0	2	0	2	0	0	0	3	0	0	1	2	5	0	0	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	2	0	1	2	0	1	0	4	0	3	3	0	0	1
ZDNet | Software &amp; Services Safari RSS	2	0	2	5	2	0	1	1	0	0	2	0	4	0	0	5	4	3	0	2	5	0	0	1	0	5	1	3	4	0	0	3	0	2	0	1	2	5	1	5	0	0	2	7	1	1	0	3	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	6	0	2	0	0	8	1	1	0	0	0	0	1	2	4	3	0	0	5	1	0	0	0	0	1	0	3	0	0	11	9	0	0	0	2	2	1	0	0	0	0	0	2	0	10	1	0	0	0	3	0	0	0	0	0	0	0	1	1	2	0	0	3	0	1	4	1	1	0	1	0	1	0	1	2	2	4	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	3	4	0	0	2	0	1	0	1	0	0	1	1	0	0	0	2	0	3	4	0	0	6
ZDNet | ZDNet Government RSS	2	4	1	2	2	1	4	0	0	0	4	1	6	0	0	1	1	4	2	0	5	2	0	1	2	1	12	6	3	0	0	11	0	0	0	0	8	0	1	3	8	0	1	4	0	1	0	1	2	0	2	31	1	0	0	0	1	2	0	2	1	6	5	0	3	2	1	0	0	5	1	1	9	2	1	1	0	1	0	0	5	0	5	0	0	11	0	0	0	0	0	0	0	1	0	0	3	1	0	2	8	0	0	2	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	0	2	0	1	4	0	1	2	0	0	1	0	0	0	0	4	4	0	0	1	0	1	1	5	6	2	0	0	2	0	0	0	0	15	5	1	1	0	0	1	19	2	3	5	4	0	0	0	0	0	0	1	5	0	0	8	2	2	0	0	1	3	2	0	0	2
ZDNet | Cloud Builders RSS	0	0	1	5	1	0	1	2	0	0	1	0	4	0	1	1	10	0	0	0	3	1	0	1	1	1	0	4	1	0	0	2	1	1	0	2	7	2	1	3	2	1	1	6	2	0	0	0	1	1	0	4	0	0	0	0	1	5	1	0	2	1	6	1	3	9	1	1	0	2	0	0	1	1	9	0	0	0	0	0	4	1	2	1	0	2	1	0	1	0	0	1	0	5	0	0	38	0	0	0	0	4	0	1	10	0	0	0	0	2	0	4	2	4	0	0	0	0	2	0	2	1	0	0	1	0	1	2	2	1	4	2	0	0	2	0	1	0	5	0	0	1	6	2	0	2	4	0	0	0	3	1	0	2	0	4	0	0	0	0	2	5	1	5	0	0	0	0	0	0	0	0	0	0	4	0	1	2	5	1	2	7	0	0	0
